nodeName	altName	nodeAttr[nodesPresent, ]
1553185_at	NA	turquoise
1553186_x_at	NA	turquoise
HYCC2	NA	turquoise
1556416_s_at	NA	turquoise
1557852_at	NA	turquoise
1558002_at	NA	turquoise
1558702_at	NA	turquoise
1558739_at	NA	turquoise
1558740_s_at	NA	turquoise
SMCHD1	NA	turquoise
LINC02603	NA	turquoise
1562255_at	NA	turquoise
MLLT10	NA	turquoise
1564378_a_at	NA	turquoise
CEP295	NA	turquoise
1569599_at	NA	turquoise
TBL1X	NA	turquoise
SPEN	NA	turquoise
TRAK2	NA	turquoise
USP1	NA	turquoise
TMED2	NA	turquoise
F5	NA	turquoise
GABPB1-IT1	NA	turquoise
IL7	NA	turquoise
CD3G	NA	turquoise
HIPK3	NA	turquoise
APLP2	NA	turquoise
SRRM2	NA	turquoise
APLP2	NA	turquoise
ATRX	NA	turquoise
TOP1	NA	turquoise
PPIG	NA	turquoise
UBN1	NA	turquoise
KLHDC10	NA	turquoise
SMC3	NA	turquoise
SMC3	NA	turquoise
SCAF11	NA	turquoise
HIPK3	NA	turquoise
SF1	NA	turquoise
RORA	NA	turquoise
ATRX	NA	turquoise
RBM25	NA	turquoise
PNISR	NA	turquoise
TCF4	NA	turquoise
DDX39B	NA	turquoise
WASHC4	NA	turquoise
SCAF11	NA	turquoise
214052_x_at	NA	turquoise
KRAS	NA	turquoise
RPL23	NA	turquoise
WASHC4	NA	turquoise
216550_x_at	NA	turquoise
216563_at	NA	turquoise
ESF1	NA	turquoise
NAA15	NA	turquoise
ANKRD11	NA	turquoise
KLF13	NA	turquoise
CSPP1	NA	turquoise
CEP290	NA	turquoise
THRAP3	NA	turquoise
TBL1XR1	NA	turquoise
ASH1L	NA	turquoise
NFKBIZ	NA	turquoise
TALAM1	NA	turquoise
MALAT1	NA	turquoise
NUP58	NA	turquoise
MALAT1	NA	turquoise
MALAT1	NA	turquoise
C5orf24	NA	turquoise
MPHOSPH8	NA	turquoise
NEAT1	NA	turquoise
EBLN3P	NA	turquoise
MALAT1	NA	turquoise
NEAT1	NA	turquoise
RBM39	NA	turquoise
TALAM1	NA	turquoise
YTHDC1	NA	turquoise
GNAS	NA	turquoise
CCDC186	NA	turquoise
CHD9	NA	turquoise
QSER1	NA	turquoise
230014_at	NA	turquoise
ENTR1	NA	turquoise
DDX17	NA	turquoise
230256_at	NA	turquoise
SPG7	NA	turquoise
TALAM1	NA	turquoise
B2M	NA	turquoise
232569_at	NA	turquoise
MS4A6A	NA	turquoise
233884_at	NA	turquoise
234151_at	NA	turquoise
ANKRD11	NA	turquoise
NEAT1	NA	turquoise
BOD1L1	NA	turquoise
CHD9	NA	turquoise
SGO2	NA	turquoise
SAMD9L	NA	turquoise
NR4A2	NA	turquoise
236000_s_at	NA	turquoise
236244_at	NA	turquoise
VPS13B	NA	turquoise
236439_at	NA	turquoise
236462_at	NA	turquoise
NAMPT	NA	turquoise
RIF1	NA	turquoise
WASH9P	NA	turquoise
PABPC1	NA	turquoise
PCNP	NA	turquoise
237813_at	NA	turquoise
PLEKHA2	NA	turquoise
238156_at	NA	turquoise
NEAT1	NA	turquoise
SLFN5	NA	turquoise
GPR155	NA	turquoise
239571_at	NA	turquoise
239655_at	NA	turquoise
239759_at	NA	turquoise
239851_at	NA	turquoise
240105_at	NA	turquoise
240960_at	NA	turquoise
SLC8A1	NA	turquoise
SNORA28	NA	turquoise
241849_at	NA	turquoise
242024_at	NA	turquoise
ZNF567	NA	turquoise
FMNL2	NA	turquoise
SYNE2	NA	turquoise
242904_x_at	NA	turquoise
CNTRL	NA	turquoise
GNAS	NA	turquoise
243054_at	NA	turquoise
243182_at	NA	turquoise
243431_at	NA	turquoise
244357_at	NA	turquoise
CYCS	NA	turquoise
CALM1	NA	turquoise
