"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"225239_at",1.89757067581574,9.26562367732947,13.0890740480589,3.10908784363348e-14,8.49946889253304e-10,22.0847227291495
"211699_x_at",2.38986265773632,13.3242594200452,11.1870201179642,1.82432761729139e-12,1.31676894341293e-08,18.2858770607943
"210254_at",2.53426277898869,5.66220249368757,11.1107107271844,2.16752089450688e-12,1.31676894341293e-08,18.1233666681909
"227062_at",1.9877037960512,7.88200644227634,10.8044952586574,4.36053478108807e-12,1.50246230660555e-08,17.4630909627598
"209116_x_at",2.14698359202588,13.2538685843908,10.8008996473736,4.3967804125631e-12,1.50246230660555e-08,17.4552599975374
"217414_x_at",2.04405308807615,13.3766025602374,10.6716456398733,5.92706247882935e-12,1.70559021594734e-08,17.1725462323678
"211696_x_at",1.85897677156384,13.5746391167369,10.5200513870489,8.43601938757117e-12,2.19637790483549e-08,16.8379616767782
"214805_at",1.23901782400243,8.7648679208582,10.3966471894664,1.12686255544789e-11,2.5296639578632e-08,16.5631881717182
"235094_at",1.31848017278971,7.6283351541734,10.3689111169921,1.20294948156275e-11,2.5296639578632e-08,16.5011323424031
"217232_x_at",2.08304021823431,13.3585536149658,10.3386710365899,1.29191708398039e-11,2.61613209506029e-08,16.4333491508408
"214414_x_at",1.65198354027728,13.8551846225962,10.3083023711314,1.38805010770193e-11,2.65291064454364e-08,16.3651464285899
"205624_at",1.84603003010371,6.01570505840635,10.2203584027952,1.70986852529408e-11,3.01571166517593e-08,16.1668964066205
"213524_s_at",2.0830105323442,6.43219093067036,10.0686386539297,2.45591598166185e-11,3.94932959698123e-08,15.8222753640315
"202018_s_at",2.47012644519113,6.36266767888131,10.0382726054453,2.64145019912738e-11,4.08220016646581e-08,15.7529044299651
"209458_x_at",1.93323170290838,13.5169810081712,10.0196098022582,2.76253143409666e-11,4.08220016646581e-08,15.7102037406254
"227510_x_at",2.58351320043421,6.92033822708656,9.92307369594919,3.48583069650059e-11,5.0154682455571e-08,15.4885289724112
"211745_x_at",1.87315427009564,13.6665688384376,9.89269043982926,3.75148644902157e-11,5.25929542564755e-08,15.4184829433658
"208304_at",1.17321112459119,5.13211875745493,9.82185746851986,4.45419166370903e-11,5.45675747703267e-08,15.254667537262
"204018_x_at",1.94212476946874,13.5144283674016,9.81201149285391,4.56201024197412e-11,5.45675747703267e-08,15.2318395587894
"240108_at",1.21864520525488,5.46714433467877,9.38106103282005,1.31585782806466e-10,1.219398758465e-07,14.2189894254714
"223287_s_at",1.00364491079779,10.4379301828829,9.24839971995519,1.83214951015965e-10,1.51544932275421e-07,13.9018143590161
"209710_at",1.28378254838887,6.69503147014222,9.24252786585444,1.8592888571803e-10,1.51544932275421e-07,13.8877170765879
"244677_at",2.35157275089845,6.84472130654344,9.22469878474458,1.94423609031784e-10,1.52619476019456e-07,13.844882255593
"1558678_s_at",2.67916738810627,11.454208792289,9.0340789070869,3.1428229948323e-10,2.09553472246897e-07,13.3840635267066
"234989_at",1.06464871172436,10.352337531003,8.9004329831193,4.41351954604988e-10,2.51363730396122e-07,13.0578796282463
"214315_x_at",1.13074527144809,8.88640208379038,8.81955494783405,5.42648409661926e-10,2.81783072432966e-07,12.8592493809908
"230885_at",1.07595817056436,5.90795779151589,8.81693461186365,5.46300972618097e-10,2.81783072432966e-07,12.8527985136676
"236841_at",1.60550104805603,8.09016161748293,8.81104264073608,5.54605820870386e-10,2.83393208000826e-07,12.8382898261984
"240336_at",2.50536273731153,5.94366025933556,8.71285509670765,7.13620868983782e-10,3.3065441535329e-07,12.5957850401729
"1566901_at",1.11151102012326,4.82763474042003,8.68908964711348,7.58662834328295e-10,3.48570508125206e-07,12.5368842986094
"1554892_a_at",1.50865320941818,5.27832047284004,8.55321058341702,1.07804672950062e-09,4.33398565701811e-07,12.1985955625036
"231078_at",1.85140430616788,6.47001451009503,8.474891632725,1.32147206308499e-09,5.12421879781361e-07,12.0024380510133
"224567_x_at",3.18714401985912,9.55471739814166,8.45029754448886,1.40894753763274e-09,5.36573925893843e-07,11.9406638620422
"206834_at",3.37177226132648,7.21471200833579,8.40137763139349,1.60090269963371e-09,5.83529034016487e-07,11.8175403640229
"213747_at",2.08621403601657,7.22286221943982,8.3001927025002,2.08698456794534e-09,7.10493962818991e-07,11.5618280372786
"1565823_at",1.36085306116445,5.43328613309005,8.29898463770001,2.09361828564185e-09,7.10493962818991e-07,11.5587665591527
"1569599_at",3.03617972640802,4.59555291102632,8.14599997378662,3.13388580660839e-09,9.62613519529853e-07,11.1694681493387
"242975_s_at",1.9318840897677,5.54300005381744,8.12612560759759,3.30320501804306e-09,1.00895382324863e-06,11.1186617726845
"229274_at",2.34942686189576,6.66954877722152,8.09997716281415,3.54025679684308e-09,1.06941182523423e-06,11.051735704356
"206207_at",2.57973296378238,8.15889535576804,8.06060126565661,3.93033777183392e-09,1.1430383918884e-06,10.9507818031323
"226150_at",1.2095084133528,7.67964139961131,8.02869149710943,4.27837601099246e-09,1.19347045102558e-06,10.8688183522199
"243798_at",1.33950754600747,6.3169578796918,7.9980651503637,4.64191802295701e-09,1.26267098460286e-06,10.7900244105457
"233936_s_at",1.13547627758089,8.12428064834859,7.95182685184773,5.25129006379794e-09,1.38702552772054e-06,10.6708300925003
"213515_x_at",2.56254980031021,8.55327061936685,7.9065402742818,5.92710352406591e-09,1.51431955690796e-06,10.5538169175011
"217422_s_at",1.50078577397649,5.47565454697944,7.82941473995248,7.2884193993422e-09,1.72728120773076e-06,10.353921932209
"241505_at",1.1261499973036,5.37304546257303,7.81381542563356,7.60032992922603e-09,1.76253323723184e-06,10.3133978329279
"229513_at",1.40520843021205,6.64730920020911,7.77803780173244,8.36798527923923e-09,1.85786171041672e-06,10.220336127524
"243431_at",1.09912831708527,6.54451513986613,7.75925704836788,8.80204709234046e-09,1.91733834571201e-06,10.1714196318425
"238156_at",1.09371680243472,8.32337396467394,7.74919554997353,9.0439356384251e-09,1.95445526099167e-06,10.1451948626146
"238320_at",1.23616311228409,7.10601050487443,7.73859321600644,9.30614482476635e-09,1.98755261052383e-06,10.1175464888324
"241843_at",1.47206330774677,7.11063494061552,7.68095678664618,1.08729559351586e-08,2.17757826283809e-06,9.96699513816649
"205513_at",1.56463456971729,5.56178540136447,7.65296869415723,1.17280273388841e-08,2.24206256906814e-06,9.89373683898975
"1566880_at",1.01941728381166,6.16475711315644,7.62307099667598,1.27171508482418e-08,2.38938220834233e-06,9.81537193026197
"239533_at",1.13887756680108,6.60482625317512,7.58983826641791,1.39165219682604e-08,2.47960301298525e-06,9.72813509202348
"223569_at",1.03602868967584,6.27657811994658,7.58966770419162,1.39229652489524e-08,2.47960301298525e-06,9.72768700861586
"209395_at",1.26653401271323,3.56300795602214,7.54492757731036,1.5722245089858e-08,2.66960792014902e-06,9.6100266003775
"207067_s_at",1.0970589482193,5.44381934794555,7.5041800768234,1.7566071216372e-08,2.85894005041238e-06,9.50265293086134
"202412_s_at",1.30748708748821,8.21220520732315,7.49334970885173,1.80921083761723e-08,2.88392427249919e-06,9.47407987157635
"223578_x_at",1.96597096529575,6.79747376533095,7.47839321344571,1.88449669274539e-08,2.96930422696986e-06,9.43459777372566
"242024_at",2.76714075205918,4.79096700307109,7.44962200822021,2.03839009159922e-08,3.07926075597993e-06,9.35857182318911
"204621_s_at",1.70560639414819,6.51184901726192,7.44955542311888,2.03876066513898e-08,3.07926075597993e-06,9.35839576123381
